Index,Instruction,end_bit,V_ag,IDT_addr_sel,base_sel,disp_sel[1:0],SIB_pr,scale[1:0],imm_rel_ptr32[31:0],disp32[31:0],in1_needed,in2_needed,in3_needed,in4_needed,esp_needed,eax_needed,ecx_needed,in1[2:0],in2[2:0],in3[2:0],in4[2:0],dreg1[2:0],dreg2[2:0],dreg3[2:0],ld_reg1,ld_reg2,ld_reg3,ld_reg1_strb[3:0],ld_reg2_strb[3:0],ld_reg3_strb[3:0],reg8_sr1_HL_sel,reg8_sr2_HL_sel,mm1_needed,mm2_needed,mm1[2:0],mm2[2:0],ld_mm,dmm[2:0],mm_sr1_sel_H,mm_sr1_sel_L,mm_sr2_sel,seg1_needed,seg2_needed,seg3_needed,seg1[2:0],seg2[2:0],seg3[2:0],ld_seg,dseg[2:0],ld_mem,mem_read,mem_rd_size[1:0],mem_wr_size[1:0],mem_rd_addr_sel,eip_change,cmps_op,cxchg_op,CF_needed,DF_needed,AF_needed,pr_size_over,EIP_curr[31:0],EIP_next[31:0],CS_curr[15:0],stack_off_sel[1:0],imm_sel[1:0],EIP_EFLAGS_sel,sr1_sel[1:0],sr2_sel[1:0],alu1_op[3:0],alu2_op[3:0],alu3_op[4:0],alu1_op_size[1:0],df_val,CF_expected,ZF_expected,cond_wr_CF,cond_wr_ZF,wr_reg1_data_sel,wr_reg2_data_sel,wr_seg_data_sel[1:0],wr_eip_alu_res_sel,wr_mem_data_sel[1:0],wr_mem_addr_sel,ld_flag_CF,ld_flag_PF,ld_flag_AF,ld_flag_ZF,ld_flag_SF,ld_flag_DF,ld_flag_OF,ptr_CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
